mode,prompt_type,id_,score
easy,simple,0,5.670261383056641
easy,simple,1,5.579921245574951
easy,simple,2,5.268791675567627
easy,simple,3,5.440100193023682
easy,simple,4,5.689958572387695
easy,simple,5,5.724804878234863
easy,simple,6,5.389392375946045
easy,simple,7,5.1487274169921875
easy,simple,8,5.013864517211914
easy,simple,9,5.957818031311035
easy,simple,10,5.492828369140625
easy,simple,11,4.954689025878906
easy,simple,12,5.848907470703125
easy,simple,13,5.574639320373535
easy,simple,14,5.503992080688477
easy,simple,15,5.804224014282227
easy,simple,16,5.320154190063477
easy,simple,17,5.719245433807373
easy,simple,18,5.3783698081970215
easy,simple,19,5.133547306060791
easy,simple,20,5.796746253967285
easy,simple,21,5.9007720947265625
easy,simple,22,5.784822463989258
easy,simple,23,5.602656841278076
easy,simple,24,5.30241060256958
easy,simple,25,5.794946193695068
easy,simple,26,5.94251823425293
easy,simple,27,5.515244960784912
easy,simple,28,5.463586330413818
easy,simple,29,5.7147369384765625
easy,simple,30,5.686963081359863
easy,simple,31,5.90012264251709
easy,simple,32,5.801041603088379
easy,simple,33,5.542632102966309
easy,simple,34,5.573650360107422
easy,simple,35,5.693574905395508
easy,simple,36,5.324907302856445
easy,simple,37,5.573614120483398
easy,simple,38,5.616114616394043
easy,simple,39,5.423266410827637
easy,simple,40,5.547446250915527
easy,simple,41,5.590652942657471
easy,simple,42,5.604945182800293
easy,simple,43,5.521848678588867
easy,simple,44,5.237433433532715
easy,simple,45,4.832594394683838
easy,simple,46,5.623763561248779
easy,simple,47,5.304673194885254
easy,simple,48,5.504183769226074
easy,simple,49,5.6612701416015625
easy,simple,50,5.042922019958496
easy,simple,51,5.264266490936279
easy,action+layout,0,5.454397201538086
easy,action+layout,1,5.59983491897583
easy,action+layout,2,5.983826160430908
easy,action+layout,3,6.383395195007324
easy,action+layout,4,5.8267717361450195
easy,action+layout,5,6.2132720947265625
easy,action+layout,6,5.617247581481934
easy,action+layout,7,5.453364372253418
easy,action+layout,8,5.28527307510376
easy,action+layout,9,5.371711730957031
easy,action+layout,10,5.413613319396973
easy,action+layout,11,5.130890846252441
easy,action+layout,12,5.766101360321045
easy,action+layout,13,5.664308547973633
easy,action+layout,14,5.476892948150635
easy,action+layout,15,5.312843322753906
easy,action+layout,16,5.644034385681152
easy,action+layout,17,5.473949432373047
