mode,prompt_type,id_,score
easy,simple,0,0.7427175045013428
easy,simple,1,0.701684832572937
easy,simple,2,0.8334990739822388
easy,simple,3,0.8193663358688354
easy,simple,4,0.789495587348938
easy,simple,5,0.7767278552055359
easy,simple,6,0.7615780830383301
easy,simple,7,0.6110956072807312
easy,simple,8,0.722653865814209
easy,simple,9,0.7658462524414062
easy,simple,10,0.7807329893112183
easy,simple,11,0.7807324528694153
easy,simple,12,0.7672743797302246
easy,simple,13,0.8262062072753906
easy,simple,14,0.6744873523712158
easy,simple,15,0.6528835296630859
easy,simple,16,0.7146453857421875
easy,simple,17,0.6798413395881653
easy,simple,18,0.7498273849487305
easy,simple,19,0.7687757611274719
easy,simple,20,0.7957990169525146
easy,simple,21,0.8923449516296387
easy,simple,22,0.7313219308853149
easy,simple,23,0.7520371675491333
easy,simple,24,0.637758195400238
easy,simple,25,0.7269009351730347
easy,simple,26,0.8118276000022888
easy,simple,27,0.7753468751907349
easy,simple,28,0.7687962055206299
easy,simple,29,0.7529829144477844
easy,simple,30,0.7086604833602905
easy,simple,31,0.6924242973327637
easy,simple,32,0.7189612984657288
easy,simple,33,0.7165578007698059
easy,simple,34,0.8195285201072693
easy,simple,35,0.8163305521011353
easy,simple,36,0.8148735165596008
easy,simple,37,0.7744854688644409
easy,simple,38,0.6474690437316895
easy,simple,39,0.7012067437171936
easy,simple,40,0.7547804117202759
easy,simple,41,0.7319318056106567
easy,simple,42,0.8429121375083923
easy,simple,43,0.8427789211273193
easy,simple,44,0.8012616038322449
easy,simple,45,0.7207840085029602
easy,simple,46,0.638870894908905
easy,simple,47,0.7192301750183105
easy,simple,48,0.6624859571456909
easy,simple,49,0.6689656972885132
easy,simple,50,0.7648686170578003
easy,simple,51,0.7962855100631714
easy,action+layout,0,0.7415797710418701
easy,action+layout,1,0.734994649887085
easy,action+layout,2,0.7880719900131226
easy,action+layout,3,0.807453989982605
easy,action+layout,4,0.8270572423934937
easy,action+layout,5,0.8272736072540283
easy,action+layout,6,0.7711004018783569
easy,action+layout,7,0.8057829737663269
easy,action+layout,8,0.7359665632247925
easy,action+layout,9,0.7666928768157959
easy,action+layout,10,0.7947824597358704
easy,action+layout,11,0.7825172543525696
easy,action+layout,12,0.7397550344467163
easy,action+layout,13,0.8018159866333008
easy,action+layout,14,0.6868467926979065
easy,action+layout,15,0.6487368941307068
easy,action+layout,16,0.7008944749832153
easy,action+layout,17,0.7118288278579712
easy,action+layout,18,0.7983850240707397
easy,action+layout,19,0.7818491458892822
easy,action+layout,20,0.7718526721000671
easy,action+layout,21,0.8578238487243652
easy,action+layout,22,0.744757890701294
easy,action+layout,23,0.7043429613113403
easy,action+layout,24,0.6997354626655579
easy,action+layout,25,0.7442506551742554
easy,action+layout,26,0.745799720287323
easy,action+layout,27,0.7976974844932556
easy,action+layout,28,0.7515270709991455
easy,action+layout,29,0.7834058403968811
easy,action+layout,30,0.7246909141540527
easy,action+layout,31,0.6374273896217346
easy,action+layout,32,0.6499718427658081
easy,action+layout,33,0.7537564039230347
easy,action+layout,34,0.7815653681755066
easy,action+layout,35,0.8109164237976074
easy,action+layout,36,0.785895586013794
easy,action+layout,37,0.821442723274231
easy,action+layout,38,0.717432975769043
easy,action+layout,39,0.7185755372047424
easy,action+layout,40,0.740447998046875
easy,action+layout,41,0.7470060586929321
easy,action+layout,42,0.8067848682403564
easy,action+layout,43,0.783149778842926
easy,action+layout,44,0.7373299598693848
easy,action+layout,45,0.8290523290634155
easy,action+layout,46,0.552185595035553
easy,action+layout,47,0.6729187965393066
easy,action+layout,48,0.6664671301841736
easy,action+layout,49,0.6560912728309631
easy,action+layout,50,0.7928678393363953
easy,action+layout,51,0.8658269047737122
easy,action+expression,0,0.7565920352935791
easy,action+expression,1,0.7397441864013672
easy,action+expression,2,0.7701282501220703
easy,action+expression,3,0.8249859809875488
easy,action+expression,4,0.7963221073150635
easy,action+expression,5,0.8308503031730652
easy,action+expression,6,0.7646102905273438
easy,action+expression,7,0.801753044128418
easy,action+expression,8,0.6948338747024536
easy,action+expression,9,0.6487207412719727
easy,action+expression,10,0.7572873830795288
easy,action+expression,11,0.8123632669448853
easy,action+expression,12,0.7436225414276123
easy,action+expression,13,0.7924505472183228
easy,action+expression,14,0.7303943037986755
easy,action+expression,15,0.6597065925598145
easy,action+expression,16,0.6783168911933899
easy,action+expression,17,0.7336443066596985
easy,action+expression,18,0.799345076084137
easy,action+expression,19,0.6930926442146301
easy,action+expression,20,0.8226590752601624
easy,action+expression,21,0.8289039134979248
easy,action+expression,22,0.7418562769889832
easy,action+expression,23,0.7456856966018677
