mode,prompt_type,id_,score
easy,simple,0,6.04927921295166
easy,simple,1,6.04927921295166
easy,simple,2,5.495770454406738
easy,simple,3,5.495770454406738
easy,simple,4,5.698198318481445
easy,simple,5,5.698198318481445
easy,simple,6,6.189510345458984
easy,simple,7,6.189510345458984
easy,simple,8,5.8673906326293945
easy,simple,9,5.8673906326293945
easy,simple,10,5.746607780456543
easy,simple,11,5.746607780456543
easy,simple,12,5.336893081665039
easy,simple,13,5.336893081665039
easy,simple,14,5.843207359313965
easy,simple,15,5.843207359313965
easy,simple,16,5.980795860290527
easy,simple,17,5.980795860290527
easy,simple,18,5.291635990142822
easy,simple,19,5.291635990142822
easy,simple,20,5.584131717681885
easy,simple,21,5.584131717681885
easy,simple,22,5.733951568603516
easy,simple,23,5.733951568603516
easy,simple,24,5.878604888916016
easy,simple,25,5.878604888916016
easy,simple,26,5.291316032409668
easy,simple,27,5.291316032409668
easy,simple,28,5.683779716491699
easy,simple,29,5.683779716491699
easy,simple,30,5.819156169891357
easy,simple,31,5.819156169891357
easy,simple,32,5.594073295593262
easy,simple,33,5.594073295593262
easy,simple,34,5.705821990966797
easy,simple,35,5.705821990966797
easy,simple,36,5.78415060043335
easy,simple,37,5.78415060043335
easy,simple,38,5.659791469573975
easy,simple,39,5.659791469573975
easy,simple,40,5.71511173248291
easy,simple,41,5.71511173248291
easy,simple,42,5.589066505432129
easy,simple,43,5.589066505432129
easy,simple,44,5.046268463134766
easy,simple,45,5.046268463134766
easy,simple,46,5.987551689147949
easy,simple,47,5.987551689147949
easy,simple,48,5.767468452453613
easy,simple,49,5.767468452453613
easy,simple,50,5.721452713012695
easy,simple,51,5.721452713012695
easy,action+layout,0,6.2028093338012695
easy,action+layout,1,6.088981628417969
easy,action+layout,2,5.322642803192139
easy,action+layout,3,5.8844709396362305
easy,action+layout,4,5.500526428222656
easy,action+layout,5,5.58495569229126
easy,action+layout,6,5.9423136711120605
easy,action+layout,7,6.170462131500244
easy,action+layout,8,6.284659385681152
easy,action+layout,9,5.969470500946045
easy,action+layout,10,5.933773040771484
easy,action+layout,11,5.2763261795043945
easy,action+layout,12,5.35801362991333
easy,action+layout,13,5.377411365509033
easy,action+layout,14,6.288731575012207
easy,action+layout,15,6.197170257568359
easy,action+layout,16,5.9725260734558105
easy,action+layout,17,5.767091751098633
easy,action+layout,18,5.648409843444824
easy,action+layout,19,5.702644348144531
easy,action+layout,20,5.417557716369629
easy,action+layout,21,5.684093952178955
easy,action+layout,22,5.872703552246094
easy,action+layout,23,5.767195701599121
easy,action+layout,24,6.198270797729492
easy,action+layout,25,6.091270923614502
easy,action+layout,26,6.063776016235352
easy,action+layout,27,5.7756476402282715
easy,action+layout,28,5.3980302810668945
easy,action+layout,29,5.393370628356934
easy,action+layout,30,5.895439147949219
easy,action+layout,31,6.118438243865967
easy,action+layout,32,5.861398696899414
easy,action+layout,33,5.949222087860107
easy,action+layout,34,5.684871196746826
easy,action+layout,35,5.694180488586426
easy,action+layout,36,5.928426265716553
easy,action+layout,37,5.829738616943359
easy,action+layout,38,5.862066268920898
easy,action+layout,39,5.510969161987305
